institute,program,quota,seat_type,gender,opening_rank,closing_rank,round,year,is_special_round,institute_type,is_pwd,category_base,gender_short,rank_window,competitiveness_score,iit_generation,nit_region,program_category,yoy_closing_rank_change,is_new_age_program,is_top_tier_college,accessibility_label,last_round
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,114821,186477,6,2022,False,GFTI,False,OPEN,GN,71656,0.7881,Not IIT,Not NIT,Other,-88315.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,93133,187883,6,2023,False,GFTI,False,OPEN,GN,94750,0.8224,Not IIT,Not NIT,Other,1406.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,125600,219741,6,2025,False,GFTI,False,OPEN,GN,94141,0.8329,Not IIT,Not NIT,Other,31858.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),9951,9951,5,2019,False,GFTI,False,SC,FO,0,0.8991,Not IIT,Not NIT,Other,-1182.0,False,False,High Competition,5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),12914,12914,6,2020,False,GFTI,False,SC,FO,0,0.8649,Not IIT,Not NIT,Other,374.0,False,False,High Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),14040,14040,6,2021,False,GFTI,False,SC,FO,0,0.8031,Not IIT,Not NIT,Other,1126.0,False,False,High Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),12540,12540,6,2022,False,GFTI,False,SC,FO,0,0.8362,Not IIT,Not NIT,Other,-1500.0,False,False,High Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),29837,29837,5,2019,False,GFTI,False,SC,FO,0,0.6976,Not IIT,Not NIT,Other,3974.0,False,False,Moderate Competition,5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),20184,20184,5,2024,False,GFTI,False,SC,FO,0,0.8473,Not IIT,Not NIT,Other,-4169.0,False,False,Moderate Competition,5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),31908,31908,6,2018,False,GFTI,False,SC,FO,0,0.6772,Not IIT,Not NIT,Other,10859.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),29933,29933,6,2020,False,GFTI,False,SC,FO,0,0.6868,Not IIT,Not NIT,Other,-1975.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),25151,25151,6,2021,False,GFTI,False,SC,FO,0,0.6472,Not IIT,Not NIT,Other,-4782.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),28769,28769,6,2022,False,GFTI,False,SC,FO,0,0.6243,Not IIT,Not NIT,Other,3618.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),24353,24353,6,2023,False,GFTI,False,SC,FO,0,0.755,Not IIT,Not NIT,Other,-4416.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),21049,21049,6,2025,False,GFTI,False,SC,FO,0,0.8285,Not IIT,Not NIT,Other,-3304.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,8390,9296,5,2019,False,GFTI,False,SC,GN,906,0.9058,Not IIT,Not NIT,Other,-796.0,False,False,High Competition,5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,10347,12598,5,2024,False,GFTI,False,SC,GN,2251,0.9047,Not IIT,Not NIT,Other,1234.0,False,False,High Competition,5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,9236,10318,6,2018,False,GFTI,False,SC,GN,1082,0.8956,Not IIT,Not NIT,Other,-3757.0,False,False,High Competition,6
